lugar_de_instalacion,lat,lon,formatted_address
"Autopista Perito Moreno km 4,5 (sentido hacia Provincia), Ciudad Autónoma de Buenos Aires.",,,
"Autopista P. Moreno km 4,5 (sentido hacia Provincia), Ciudad Autónoma de Buenos Aires.",,,
"Autopista Perito Moreno km 4,5 (sentido hacia Provincia) carril 4,Ciudad Autónoma de Buenos Aires.",,,
"Autopista Perito Moreno km 4,500 C.A.B.A. sentido descendente",,,
"Av. Lugones km 8,5 (altura Udaondo), Ciudad Autónoma de Buenos Aires.",,,
"Av. Lugones km 8,5 - CABA",,,
"Av. Lugones km 8,7, CABA, sentido: único",,,
"Av. Lugones km 8,7, CABA, sentido: único Carril 4",,,
"Av. Leopoldo Lugones km 8,5 carril 4 - desc. CABA",,,
"Autopista 25 de Mayo km 4,0 (sentido hacia Provincia), Ciudad Autónoma de Buenos Aires.",,,
"Galván 3640, CABA",,,
Galvan 3640 Carril 2 Ascendente CABA,,,
"Autopista 25 de Mayo km 4,0 (sentido hacia Capital), Ciudad Autónoma de Buenos Aires.",,,
"Avenida Independencia Nº 2662, Ciudad Autónoma de Buenos Aires",,,
"Au.6 Autopista P. Moreno km 4,9 carril 2, 3 y 4 asc. CABA",,,
"Av. 9 de Julio sur km 1,8 (sentido hacia provincia), Ciudad Autónoma de Buenos Aires.",,,
"Av. 9 de Julio Sur km 1,8",,,
"Av. 9 de Julio Sur km 1,8, sentido de circulación: hacia Pcia.",,,
"Av. Cantilo km 8,5 - CABA",,,
"Autopista Illia, km 1,2, CABA, sentido de circulación: hacia provincia",,,
"Autopista Illia, km 1,2, CABA, sentido de circulación: hacia Capital",,,
"Autopista Illia km 1,2, carril 3- Ciudad Autónoma de Buenos 
Aires,Ascendente",,,
"au. Illia 1,2 - Carril 3 - CABA - Descendente",,,
"Av. Cantilo km 8,5, Ciudad Autónoma de Buenos Aires.",,,
"Av. Del Libertador 7725 (carril 2), CABA asc",,,
Av. Del Libertador 7725 Asc. Ciudad Autónoma de Buenos Aires,,,
"Galvan Nº 3640, CABA",,,
"Av. Lugones km 8,5, Ciudad Autónoma de Buenos Aires.",,,
"Av. Lugones km 8,7, CABA, sentido: único Carril 5",,,
"Av. Leopoldo Lugones km 8,5 carril 5 - desc. CABA",,,
"AV. Independencia 2662, CABA",,,
"Av. 9 de Julio sur km 1,8 (sentido hacia Capital), Ciudad Autónoma de Buenos Aires.",,,
"Av. Del Libertador 7725 (carril 3), CABA asc",,,
"Ex. ruta Provincial Nº 7, km 1,8, Neuquén, Pcia. de Neuquén, sentido de circulación: descendente, Centenario - Neuquén",,,
"Av. A.M. García 9171, carril 2, asc. Tigre",,,
"Av. A.M. García 9171, Tigre, bs as. Asc",,,
Av. A. M. Garcia 9171 - carril 2 - asc. Tigre,,,
"Corredor Vial Bancalari, km 2,0, carril 2 desc. Tigre",,,
Corredor Bacalari km 2 carril 2 - desc. Tigre,,,
Corredor vial Bacalari km 2 carril 2 - desc. Tigre,,,
"Ing. Dinkeldein Nº 1335 (carril central) sentido único. Río 
Cuarto,Córdoba",,,
"Ing. Dinkeldein Nº 1335 (carril central) sentido único. Río Cuarto, Córdoba",,,
"Gral. José Garibaldi Nº 1100 (sentido decreciente), Río 
Cuarto,Córdoba",,,
"Gral. José Garibaldi Nº 1100 (sentido decreciente), Río Cuarto, Córdoba",,,
"Wenceslao Tejerina Norte Nº 961 (sentido de norte a sur hacia el centro), Río Cuarto, Córdoba",,,
"Autopista Illia km 1,2 (sentido hacia Capital), Ciudad Autónoma de Buenos Aires.",,,
"Autopista Illia km 1,2, Ciudad Autónoma de Buenos Aires, sentido de circulación hacia el centro.",,,
"Au. Illia km 1,2 carril 3 - Sentido centro CABA",,,
"Au. Illia km 1,2 carril 3 - desc. CABA",,,
"Ruta Nacional N° 34 - km 95,4 (carril sentido descendente), en jurisdicción de la localidad de Centeno, provincia de Santa Fe",,,
"Ruta Nacional N° 34 - km 95,4 (carril sentido ascendente), en jurisdicción de la localidad de Centeno, provincia de Santa Fe",,,
"Avenida 27 de Febrero 5800 (sentido hacia el Centro), Ciudad Autónoma de Buenos Aires.",,,
"Av. 27 de Febrero Nº 5800, CABA, sentido: hacia Puente Alsina.",,,
Av. 27 de Febrero 5800 hacia Puente. Alsina,,,
"Avenida 27 de Febrero 5800 (sentido hacia Provincia), Ciudad Autónoma de Buenos Aires.",,,
"Av. 27 de Febrero Nº 5800, CABA, sentido: hacia Puente La Noria.",,,
Av. 27 de Febrero 5800 hacia Puente. La Noria,,,
"Autopista Dellepiane km 3,8 (sentido hacia Provincia), Ciudad Autónoma de Buenos Aires.",,,
"Autopista Dellepiane km 3,8, Ciudad Autónoma de Buenos 
Aires,sentido de circulación hacia provincia.",,,
"Autopista Dellepiane km 3,8, Ciudad Autónoma de Buenos Aires, sentido de circulación hacia provincia.",,,
"Au. Illia km 4,5, CABA, Sentido: Ascendente (mano hacia pcia.)",,,
"Au. Illia km 3,9, CABA, Sentido: Ascendente (mano hacia pcia.)",,,
"Autopista Illia km 3,9, carril 3 - Ciudad Autónoma de Buenos Aires,Ascendente",,,
"Autopista Illia km 3,9, carril 3 - Ciudad Autónoma de Buenos Aires, Ascendente",,,
"Au. Illia km 3,9 carril 4 - CABA - ascendente",,,
"Au. Illia km 6,9, CABA, Sentido: Ascendente (mano hacia pcia.)",,,
"Au. Illia km 7, CABA, Sentido: Ascendente (mano hacia pcia.)",,,
"Au. Illia km 6,9 CABA, Sentido: Ascendente (mano hacia pcia.)",,,
"R.P. 51 km 122,1",,,
No aplica,,,
"Au. 25 de mayo km 8,4, CABA, sent. Desc.",,,
"Autopista 25 de Mayo km 8,400 Ciudad Autónoma de Buenos Aires Sentido de circulación: descendente",,,
"Autopista 25 de Mayo km 8,4 CABA, desc.",,,
"Autopista 25 de Mayo km 8,4, Ciudad Autónoma de Buenos 
Aires.Sentido: Descendente",,,
"Autopista 25 de Mayo km 8,4, Ciudad Autónoma de Buenos Aires. Sentido: Descendente",,,
"Aut. 25 de mayo km 8,4 - carril 2 - descendente - C.A.B.A.",,,
"Au. 25 de mayo km 8,4, CABA, sent. Asc.",,,
"Autopista 25 de Mayo km 8,400 Ciudad Autónoma de Buenos Aires Sentido de circulación: ascendente",,,
Av. Sarmiento 3866 CABA,,,
"Av. Sarmiento N° 3866, CABA.",,,
Av. Sarmiento 3866 - Carril 3 CABA - descendente (ARCHIVO DNCI DICE ASC),,,
"Av. de los 7 Jefes Nº 4100, Ciudad de Santa Fe, Pcia. de Santa Fe,sentido de circulación: en ambos sentidos.",,,
"Av. de los 7 jefes 4100, Santa Fe de la Vera Cruz, Pcia. de Santa Fe,sentido de circulación: en ambos sentidos.carril 1y2 N-S, carril 3 S- N.",,,
"Av. de los 7 jefes 4100, Santa Fe de la Vera Cruz, Pcia. de Santa Fe, sentido de circulación: en ambos sentidos.carril 1y2 N-S, carril 3 S-N.",,,
"Autopista Dellpiane, km 3,9, CABA, sentido de circulación: Av. Gral Paz - centro de CABA",,,
"Av. General Paz km 13,1, Ciudad Autónoma de Buenos Aires,sentido de circulación: Riachuelo - Río de la Plata.",,,
"Av. Gral. Paz, km 13,1 CABA. Sentido de circulación Riachuelo - Río de la Plata",,,
"Av. General Paz km 13,1, Ciudad Autónoma de Buenos Aires,sentido de circulación: Río de la Plata - Riachuelo.",,,
"Av. Gral. Paz, km 13,1 CABA. Sentido de circulación Río de la Plata - Riachuelo",,,
"Av. General Paz km 17,8, Ciudad Autónoma de Buenos Aires,sentido de circulación: Riachuelo - Río de la Plata.",,,
"Av. Gral. Paz, km 17,8 CABA. Sentido de circulación Riachuelo - Río de la Plata",,,
"Av. General Paz km 17,8, Ciudad Autónoma de Buenos Aires,sentido de circulación: Río de la Plata - Riachuelo.",,,
"Av. Gral. Paz, km 17,8 CABA. Sentido de circulación Río de la Plata - Riachuelo",,,
"Av. General Paz km 22,5, Ciudad Autónoma de Buenos Aires,sentido de circulación: Riachuelo - Río de la Plata.",,,
"Av. Gral. Paz, km 22,5 CABA. Sentido de circulación Riachuelo - Río de la Plata",,,
"Av. General Paz km 22,5, Ciudad Autónoma de Buenos Aires,sentido de circulación: Río de la Plata - Riachuelo.",,,
"Av. Gral. Paz, km 22,5 CABA. Sentido de circulación Río de la Plata - Riachuelo",,,
"Av. Aristóbulo del Valle Nº 8700, Santa Fe de la Vera Cruz, Pcia. de Santa Fe, sentido de circulación: Norte – Sur (hacia el centro).",,,
"Av. Aristobulo del Valle Nº 8700, Santa Fe de la Vera Cruz, Pcia. de Santa Fe, sentido de circulación: carril 1y2 N-S.",,,
"Av. Aristobulo del Valle Nº 8700, Santa Fe de la Vera Cruz, Pcia. de Santa Fe, sentido de circulación: carril 1y2 N-S hacia el centro.",,,
"Avenida Bolivia Nº 5500, Salta, Pcia. de Salta, sentido de circulación:S N",,,
"Avenida Bolivia Nº 5500, Salta, Pcia. de Salta, sentido de 
circulación:carril 1 y 2 S-N",,,
"Avenida Bolivia Nº 5500, Salta, Pcia. de Salta, sentido de circulación: carril 1 y 2 S-N",,,
"Avenida Bolivia Nº 5500, Salta, Pcia. de Salta, sentido de 
circulación:N-S",,,
"Avenida Bolivia Nº 5500, Salta, Pcia. de Salta, sentido de 
circulación:Carril 1 y 2 N-S",,,
"Avenida Bolivia Nº 5500, Salta, Pcia. de Salta, sentido de circulación: Carril 1 y 2 N-S",,,
"Avenida Ing. Mario Banchik Nº 6010, Salta, Pcia. de Salta, sentido de circulación: E-O",,,
"Avenida Ing. Mario Banchik Nº 6010, Salta, Pcia. de Salta, sentido de circulación: carril 1 y 2 E-O",,,
"Avenida Ing. Mario Banchik Nº 6010, Salta, Pcia. de Salta, sentido de circulación: O-E",,,
"Avenida Ing. Mario Banchik Nº 6010, Salta, Pcia. de Salta, sentido de circulación: carril 1 y 2 O-E",,,
"Ruta Provincial 14, km 5,2, Soldini, Pcia. de Santa Fé, sentido de circulación: carril 1 Soldini-Alvarez - carril 2 Alvarez-Soldini.",,,
"Ruta Provincial 14, km 5,2, Soldini, Pcia. de Santa Fé, sentido de circulación: carril 2 Soldini-Alvarez - carril 1 Alvarez-Soldini.",,,
"Ruta pcial 11, km 255, Tordillo, pcia Bs. As.Sentido Ascendente (esq.de Crotto hacia Gral. Conesa)",,,
"RP N°2, km 52, La Plata, Bs. As. Descendente (MdP hacia CABA)",,,
"Ruta pcial 11, km 255, Tordillo, pcia Bs. As.Sentido Descendente (Gral. Conesa hacia esq. de Crotto).",,,
"RP N°2, km 52, La Plata, Bs. As. Ascendente (CABA hacia MdP)",,,
"Ruta Pcial. N° 55, km 75,6, Balcarce, Pcia. de Bs. As. - Sentido de circulación: ascendente",,,
"RP N°6 S/N° (ex Ruta 12 km 83,5) Zarate, Bs. As. (Campana hacia Zarate)",,,
"RP N°6 S/N° (ex Ruta 12 km 83,5) Zarate, Bs. As. (Zarate hacia Campana)",,,
"Av. Del Libertador 5500, Moreno, Pcia. Bs. As. Sentido Asc.",,,
"Av. Del Libertador 5500, Moreno, Pcia. Bs. As. Sentido Desc.",,,
"Au. Bs As - La Plata y Ruta Provincial 19, km 41,5, Villa Elisa, pcia.Bs. As. Sentido Ascendente, Ciudad Autónoma de Buenos Aires - La Plata",,,
"Au. Bs. As. - La Plata y Ruta Pcial 19, km 41,5 Villa Elisa, Pcia Bs. As. Sent: asc.",,,
"Au. Bs As - La Plata y Ruta Provincial 19, km 41,5, Villa Elisa, pcia.Bs. As. Sentido Descendente, La Plata - Ciudad Autónoma de Buenos Aires",,,
"Au. Bs As - La Plata y Ruta Provincial 19, km 41,5, Villa Elisa, pcia. Bs. As. Sentido Descendente, La Plata - Ciudad Autónoma de Buenos Aires",,,
"Au. Bs As - La Plata km 33,8, Hudson, pcia. Bs. As. Sentido 
Ascendente",,,
"Au. Bs As - La Plata km 17, Bernal, pcia Bs. As. Sentido Descendente",,,
"Au. Bs. As. - Mar del Plata km 33,8, Hudson, Pcia. De Bs. As. Sent. De circulación Desc.",,,
"Con. Del Buen Ayre km 9,7, Bs. As. Descendente (Fiscalización de vehículos pesados unicamente)",,,
"Con. Del Buen Ayre km 9,7, Bs. As. Ascendente (Fiscalización de vehículos pesados unicamente)",,,
"Av. Circunvalación y Sampayo, Junín, Bs. As. sentido: Asc.",,,
"Ruta Provincial N° 2, km 103,5, Chascomús, Bs. As. Sent. Desc.",,,
"Avenida Leandro N. Alem al 1300, Santa Fe, Pcia. de Santa Fe,sentido de circulación: O-E",,,
"Av. Leandro N. Alem al 1300, Santa Fe de la Vera Cruz, Pcia. de Santa Fe, sentido de circulación: Oeste a Este",,,
"Avenida Leandro N. Alem al 1300, Santa Fe, Pcia. de Santa Fe,sentido de circulación: E-O",,,
"Av. Leandro N. Alem al 1300, Santa Fe de la Vera Cruz, Pcia. de Santa Fe, sentido de circulación: Este a Oeste",,,
"Autopista Buenos Aires - La Plata y Ruta Provincial 19, km 41,5, en la localidad de Villa Elisa, Provincia de Buenos Aires. Sentido de circulación: Ascendente, Ciudad Autónoma de Buenos Aires hacia La Plata.",,,
"Av. Juan Domingo Perón Nº 4260, Salta, Pcia. de Salta, sentido de circulación: Oeste - Este.",,,
"Av. Juan Domingo Perón Nº 3100, Salta, Pcia. de Salta, sentido de circulación: Este - Oeste.",,,
"Autopista 25 de Mayo, km 5,3, CABA. Sentido de circulación: Centro de CABA hacia Av. Gral. Paz (fiscalización vehículos pesados unicamente)",,,
"Autopista 25 de Mayo, km 4,0, CABA. Sentido de circulación: Av. Gral Paz hacia el Centro de CABA. (fiscalización vehículos pesados unicamente)",,,
"Autopista Perito Moreno, km 4,3, CABA. Sentido de circulación: Av. Gral Paz hacia el Centro de CABA.",,,
"Av. Cantilo, km 8,5, CABA. Sentido de circulación: CABA hacia Av. Gral. Paz. (fiscalización vehículos pesados unicamente)",,,
"Ruta Nacional 34 km 129, Cañada Rosquín, Pcia. de Santa Fe,sentido de circulación: carril 1 N-S, carril 2 S-N.",,,
"Ruta Pcial 31 km 121,3, Salto, Pcia. de Bs. As. - Sent. Asc.",,,
"Av. Peñaloza Nº 5700, Santa Fe, Pcia. de Santa Fe, sentido de circulación: carril 1y 2 N-S.",,,
"Av. Blas Parera Nº 9350, Santa Fe, Pcia. de Santa Fe, sentido de circulación: carril 1 N-S, carril 2 S-N.",,,
"Ruta Nacional 34, km 110, Las Bandurrias, Pcia. de Santa Fe, sentido de circulación: carril 1 Centeno a Cañada Rosquín S-N, carril 2 Cañada Rosquín a Centeno N-S.",,,
"Ruta Pcial 31 km 121,3, Salto, Pcia. de Bs. As. - Sent. Desc.",,,
"Sivori 4917, Bahía Blanca, Pcia de Bs. As., Sentido: Ascendente.",,,
"Autopista Rosario-Santa Fé, km 10,8, proximo a Fray Luis Beltrán,Pcia. de Santa Fé, sentido de circulación: descendente Santa Fé -Rosario N-S.",,,
"Autopista Rosario-Santa Fé, km 10,8, proximo a Fray Luis Beltrán, Pcia. de Santa Fé, sentido de circulación: ascendente Rosario - Santa Fé S-N.",,,
"Ruta Nacional Nº 11, km 547,8, Videla, Pcia. de Santa Fé, sentido de circulación: carril 1 Nelson - San Justo S-N - carril 2 San Justo - Nelson N-S.",,,
"Ruta Nacional 11, km 547,8, Videla, Pcia. de Santa Fé, sentido de circulación: carril 1 Nelson-San Justo S-N - carril 2 San Justo-Nelson N-S.",,,
"Ruta Nacional Nº 11, km 619, Gobernador Crespo, Pcia. de Santa Fé, sentido de circulación: carril 1 Calchaquí - San Justo N-S - carril 2 San Justo - Calchaquí S-N.",,,
"Ruta Nacional 11, km 619, Gobernador Crespo, Pcia. de Santa Fé, sentido de circulación: carril 1 Calchaqui-San Justo N-S - carril 2 San Justo-Calchaqui S N.",,,
"Ruta Provincial N° 6, km 194, Campana, pcia de Bs. As. Sentido Ascendente",,,
"Ruta Provincial N° 6 km 194, Campana, Pcia. De Bs. As. Asc.",,,
"Ruta Provincial N° 6, km 194, Campana, pcia de Bs. As. Sentido Descendente",,,
"Ruta Provincial N° 6 km 194, Campana, Pcia. De Bs. As. Desc.",,,
"Av. 6 de julio 1100, Campana, pcia de Bs. As. Sentido Descendente",,,
"Av. 6 de Julio 1100, Campana, Provincia de Buenos Aires, Desc.",,,
"Sivori 4880, Bahía Blanca, Pcia de Bs. As., Sentido: Descendente.",,,
"Av. Benjamín Aráoz Nº 550, San Miguel de Tucumán, Pcia. de Tucumán, sentido de circulación: E-O.",,,
"Ruta Nacional Nº 34, km 169,5, San Vicente, Pcia. de Santa Fé,sentido de circulación: carril 1 Rafaela - Cañada Rosquín N-S - carril 2 Cañada Rosquín - Rafaela S-N.",,,
"Av. Hipolito Yrigoyen 5000, San Fernando, Bs As, Descendente (Acc.Norte hacia Acc. Tigre)",,,
"Av. Hipolito Yrigoyen 5000, San Fernando, Provincia de Buenos Aires. Descendente",,,
"Av. Hipolito Yrigoyen 5000, San Fernando, Bs As, Ascendente (Acc.Tigre hacia Acc. Norte)",,,
"Av. Hipolito Yrigoyen 5000, San Fernando, Provincia de Buenos Aires. Ascendente",,,
"Uruguay 6500, San Fernando, pcia de Bs. As. Sentido Ascendente (acc. Tigre hacia acc. Norte)",,,
"Pte Raúl Alfonsín 971, Bahía Blanca, Pcia de Bs. As., 
Sentido:Ascendente.",,,
"Pte Raúl Alfonsín 970, Bahía Blanca, Pcia de Bs. As., 
Sentido:Descendente.",,,
"Av. De La Unidad Nacional 780, San Isidro, Bs. As., Asc.",,,
"Av. De la Unidad Nacional 780, San Isidro, Pcia de Bs. As., 
Sentido:Descendente.",,,
"Av. Marquez 1515, San Isidro, Bs. As., Asc.",,,
"Av. Marquez 1590, San Isidro, Bs. As., Desc.",,,
"Av. Del Libertador Gral. San Martín 15570, San Isidro, Bs. As., Desc.",,,
"Ruta Provincial Nº 6, km 65,5 Esperanza, Pcia. de Santa Fé, sentido de circulación: carril 1 Esperanza - Frank N-S - carril 2 Frank - Esperanza S-N.",,,
"Ruta Provincial Nº 70 km 15,7 Esperanza, Pcia. de Santa Fé, sentido de circulación: carril 1 Esperanza - Humboldt E-O - carril 2 Humboldt - Esperanza O-E.",,,
"Av. Uruguay 6651, San Isidro, Pcia de Bs. As., Sentido: Descendente.",,,
"Juan Manuel de Rosas 4700, San Martín, Bs. As., Asc.",,,
"Juan Manuel de Rosas 4700, San Martín, Bs. As., sentido ascendente",,,
"Acceso Norte Carlos Fuentes al 700, Villaguay, Pcia. de Entre Ríos,sentido de circulación Sur-Norte.",,,
"Acceso Norte Carlos Fuentes al 700, Villaguay, Pcia. de Entre Ríos, sentido de circulación Sur-Norte.",,,
"Juan Manuel de Rosas 4700, San Martín, Bs. As., Desc.",,,
"Juan Manuel de Rosas 4700, San Martín, Bs. As., sentido 
descendente",,,
"Juan Manuel de Rosas 4700, San Martín, Bs. As., sentido descendente",,,
"Acceso Norte Carlos Fuentes al 2600, Villaguay, Pcia. de Entre Ríos,sentido de circulación: Norte-Sur.",,,
"Acceso Norte Carlos Fuentes al 2600, Villaguay, Pcia. de Entre Ríos, sentido de circulación: Norte-Sur.",,,
"Ruta Provincial Nº 70 km 70,4 Bella Italia, Pcia. de Santa Fé, sentido de circulación: carril 1 Rafaela - Esperanza O-E - carril 2 Esperanza - Rafaela E O.",,,
"Dr. Ricardo Balbín 4880, San Martín, Bs. As., Asc.",,,
"Dr. Ricardo Balbín 4880, San Martín, Bs. As., sentido ascendente",,,
"Dr. Ricardo Balbín 4880, San Martín, Bs. As., Desc.",,,
"Dr. Ricardo Balbín 4880, San Martín, Bs. As., sentido descendente",,,
"Ruta Pcial 30 y calle 836, Chacabuco, Pcia. de Bs. As. - Sent. Asc.",,,
"Juan Domingo Perón 3751, Bahía Blanca, Pcia de Bs. As., 
Sentido:Ascendente.",,,
"Juan Domingo Perón 3750, Bahía Blanca, Pcia de Bs. As., 
Sentido:Descendente.",,,
"Ruta Nacional A012 km 63, Ricardone, Pcia. de Santa Fé, sentido de circulación: carril 1 San Lorenzo-Roldán NE-SO, carril 2 Roldán-San Lorenzo SO-NE.",,,
"Ruta Nacional A012 km 60,4, Ricardone, Pcia. de Santa Fé, sentido de circulación: carril 1 San Lorenzo-Roldán NE-SO, carril 2 Roldán- San Lorenzo SO-NE.",,,
"Ruta Nacional A012 km 60,4, Ricardone, Pcia. de Santa Fé, sentido de circulación: carril 1 San Lorenzo-Roldán NE-SO, carril 2 Roldán-San Lorenzo SO-NE.",,,
"de circulación: ascendenteCorredor Bancalari km 0,30, San 
Fernando, Pcia. de Bs. As. - Sentido",,,
"Ruta Pcial 30 y calle 836, Chacabuco, Pcia. de Bs. As. - Sent. Desc.",,,
"Ruta Nacional Nº 130 km 76, Villaguay, Pcia. de Entre Ríos, sentido de circulación: carril 1 O-E, carril 2 E-O.",,,
"Ruta Nacional Nº 130 km 76, (Acceso Isidoro Redruello esquina Buenos Aires) Villaguay, Pcia. de Entre Ríos, sentido de circulación:carril 1 O-E, carril 2 E-O.",,,
"Ruta Nacional Nº 130 km 76, (Acceso Isidoro Redruello esquina Buenos Aires) Villaguay, Pcia. de Entre Ríos, sentido de circulación: carril 1 O-E, carril 2 E-O.",,,
"Ruta Provincial Nº 1 km 111, Saladero Cabal, Pcia. de Santa Fé,sentido de circulación: carril 1 S-N, carril 2 N-S.",,,
"Ruta Provincial S20 km 2,1, Piñeyro, Pcia. de Santa Fé, sentido de circulación: carril 1 N-S, carril 2 S-N.",,,
"Ruta Nacional A012 km 9,8, Piñeyro, Pcia. de Santa Fé, sentido de circulación: carril 1 E-O, carril 2 O-E.",,,
"Ruta Provincial Nº 1 km 12,9, Arroyo Leyes, Pcia. de Santa Fé,sentido de circulación: carril 1 S-N, carril 2 N-S.",,,
"Ruta Pcial 6, km 159,3, Luján, Pcia. de Bs. As. - Sent. Asc.",,,
"Ruta Provincial Nº 14 km 48, Villa Mugueta, Pcia. de Santa Fé,sentido de circulación: carril 1 E-O, carril 2 O-E.",,,
"Ruta Pcial. N° 51, km 96,7, Capitán Sarmiento, Pcia. de Bs. As. - Sentido de circulación: descendente",,,
"Ruta Pcial. 51, km 96,7, Capitan Sarmiento, Bs. As., sent: Asc.",,,
"Ruta Pcial 6, km 159,3, Luján, Pcia. de Bs. As. - Sent. Desc.",,,
"Desc.Ruta Pcial. 51. km 121,3, Carmen de Areco, Pcia. Bs. As. Sentido",,,
"Av. San Juan 2507, CABA, carriles 4 y 5",,,
"Av. Coronel Roca 5880, CABA, desc",,,
"Ruta Pcial. 51. km 121,3, Carmen de Areco, Pcia. Bs. As. Sentido Asc.",,,
"Avenida B. Mitre 936, Vicente López, Pcia. de Bs. As. - Sentido de circulación: descendente",,,
"Ruta Pcial. N° 39, km 2, Exaltación de la Cruz, Pcia. de Bs. As. - Sentido de circulación: ascendente",,,
"Ruta Pcial. N° 39, km 2,3, Exaltación de la Cruz, Pcia. de Bs. As. - Sentido de circulación: descendente",,,
"Avenida del Libertador 3697, Vicente López, Pcia. de Bs. As. -Sentido de circulación: ascendente",,,
"Avenida de los Constituyentes 2199, Vicente López, Pcia. de Bs. As. - Sentido de circulación: ascendente",,,
"Avenida Maipú 4000, Vicente López, Pcia. de Bs. As. - Sentido de circulación: ascendente",,,
"Avenida Martín Fierro 3700, Ituzaingo, Pcia. de Bs. As. - Sentido de circulación: ascendente",,,
"Avenida Néstor Kirchner 22295, Ituzaingo, Pcia. de Bs. As. - Sentido de circulación: ascendente",,,
"Ruta Provincial N° 2 - km 52, La Plata, Bs. As. Ascendente (CABA hacia MdP)",,,
"Ruta Nacional A012 - km 62,6, en jurisdicción de la localidad de Ricardone, provincia de Santa Fe",,,
"Ruta Nacional N° 34 - km 42,6 (carril con sentido de circulación ascendente), en jurisdicción de la localidad de Salto Grande, provincia de Santa Fe",,,
"Ruta Nacional N° 34 - km 44,5 (carril con sentido de circulación descendente), en jurisdicción de la localidad de Salto Grande, provincia de Santa Fe",,,
"Ruta Nacional N° 33 - km 667,2 (carril 1 sentido descendente / carril 2 sentido ascendente), en jurisdicción de la localidad de Chovet, provincia de Santa Fe",,,
